Rndrng_NPI,HCPCS_Degree_Centrality,HCPCS_Closeness_Centrality,HCPCS_PageRank,Provider Type_Closeness_Centrality,Provider Type_PageRank
1124007489,4.24e-05,40.58124565,1.28e-05,35.27757636,7.44e-06
1356380828,4.24e-05,38.12632033,2.26e-05,1.99091688,9.02e-06
1497723472,4.24e-05,24.7842354,1.92e-05,2.126963722,4.21e-05
1942677141,4.24e-05,5.556974552,2.31e-05,17.85432125,2.14e-05
1245254515,4.24e-05,0.002466497133,2.78e-05,0.05242916245,3.62e-05
1457330714,4.24e-05,35.52613221,1.62e-05,25.90240639,8.59e-06
1831860931,4.24e-05,0.9872580468,2.04e-05,32.52695474,9.01e-06
1528386414,4.24e-05,35.30191887,3.17e-05,7.926028492,2.16e-05
1386135721,4.24e-05,32.86544498,4.15e-05,6.749979829,2.72e-05
1538552278,4.24e-05,7.254072285,1.61e-05,23.05862238,1.41e-05
1801233796,4.24e-05,0.008732489492,1.91e-05,0.6028313106,3.89e-05
1790979813,4.24e-05,29.69103802,2.47e-05,17.41442986,2.47e-05
1427391457,4.24e-05,37.7792216,1.22e-05,0.3888904191,7.23e-06
1154312452,4.24e-05,15.30582607,1.52e-05,34.47753385,1.33e-05
1508821315,4.24e-05,39.37317152,3.49e-05,33.69088214,1.39e-05
1346483815,4.24e-05,29.62261889,3.52e-05,1.113934281,1.19e-05
1629456983,4.24e-05,31.28231675,2.55e-05,13.93210051,3.59e-05
1952612046,4.24e-05,26.65342773,2.02e-05,0.3342839512,1.03e-05
1215939764,8.47e-05,29.24447459,4.73e-05,22.96690041,1.6e-05
1245285402,4.24e-05,20.54726056,2.15e-05,0.9684102279,2.68e-05
1750989018,4.24e-05,6.300958778,2.06e-05,20.07899341,1.78e-05
1366588535,4.24e-05,34.42346088,2.28e-05,27.27786351,1.97e-05
1841429958,4.24e-05,0.6696990184,1.7e-05,37.45062406,1.14e-05
1104485630,4.24e-05,1.309336379,1.95e-05,31.1246104,9.91e-06
1104021583,4.24e-05,38.29803942,1.4e-05,5.904493027,8.64e-06
1881086163,4.24e-05,36.37985234,1.37e-05,6.026123811,8.24e-06
1790073419,4.24e-05,39.50342536,2.51e-05,31.66776187,1.55e-05
1861414302,4.24e-05,0.01115541177,1.62e-05,1.877514444,1.98e-05
1154637353,8.47e-05,24.9396794,2.92e-05,1.541483334,1.95e-05
1740214626,4.24e-05,28.48280268,1.24e-05,1.502759019,8.96e-06
1255574000,4.24e-05,5.146184386,1.45e-05,43.65028746,8.16e-06
1356690721,4.24e-05,8.079022941,2.31e-05,7.288427871,7.87e-05
1750361135,4.24e-05,38.47422564,2.56e-05,34.15850573,1.35e-05
1659449817,4.24e-05,0.0444887843,2.64e-05,19.39626288,2.26e-05
1891968301,4.24e-05,25.96145549,1.06e-05,6.267128795,6.88e-06
1710916598,4.24e-05,25.84562758,3.52e-05,40.53482398,9.64e-06
1750357265,4.24e-05,0.6349488767,2.13e-05,44.17260429,7.93e-06
1629055744,4.24e-05,18.45207679,2.8e-05,7.589087773,5.61e-05
1811073430,4.24e-05,0.008846877358,3.66e-05,2.175839691,3.61e-05
1124589973,4.24e-05,25.11959531,1.83e-05,1.588869392,1.86e-05
1487940961,4.24e-05,25.37374247,1.72e-05,1.646816946,1.76e-05
1982662078,4.24e-05,28.49740635,1.69e-05,1.341833924,2.45e-05
1841363447,4.24e-05,38.35208763,2.12e-05,23.28003616,2.5e-05
1518958180,4.24e-05,26.78380371,2.61e-05,3.238905795,2.49e-05
1588681944,4.24e-05,37.52929496,1.85e-05,25.61279586,1.44e-05
1659711141,8.47e-05,37.99636799,2.62e-05,25.96999806,8.53e-06
1740626274,4.24e-05,6.585624247,1.79e-05,21.61528969,1.57e-05
1164743332,4.24e-05,17.9308168,3.35e-05,10.74214436,3.64e-05
1245877679,4.24e-05,32.0862756,2.98e-05,6.848653832,2.67e-05
1215385083,4.24e-05,37.77337578,1.48e-05,25.46855763,2.19e-05
1780970947,4.24e-05,23.753111,2.43e-05,0.1317872331,2.52e-05
1780867176,4.24e-05,0.01853920405,4.24e-05,3.246021746,2.42e-05
1568453421,4.24e-05,33.9104384,3.13e-05,19.08479066,1.56e-05
1831509330,4.24e-05,0.01271309244,2.2e-05,0.4028367437,2.92e-05
1912122334,4.24e-05,31.72386929,1.66e-05,1.190371712,2.9e-05
1164498473,4.24e-05,0.1599669341,3.51e-05,22.13420062,1.7e-05
1295737179,4.24e-05,23.76041345,2.19e-05,0.09056556352,1.58e-05
1700176088,4.24e-05,0.007861359225,2.37e-05,0.8444188284,4.06e-05
1750690376,4.24e-05,36.14630718,1.86e-05,9.143172195,1.72e-05
1417980608,4.24e-05,28.96376225,1.99e-05,3.987517219,1.82e-05
